% Graph saved at Tue Mar 19 2024 16:57:03 GMT+1000 (Australian Eastern Standard Time)
n 31.91257911392405 213.32675970873785 0
n 165.9315664556962 400.219963592233 1
n 177.00751582278482 213.32675970873785 2
n 171.4695411392405 20.365594660194173 3
n 387.4505537974684 401.4335558252427 4
n 350.89992088607596 213.32675970873785 5
n 319.8872626582278 21.579186893203882 6
n 497.10245253164555 212.11316747572815 7
e 0 1 0 2
e 0 3 1 8
e 0 2 2 10
e 1 4 3 6
e 2 4 4 6
e 1 5 5 10
e 2 5 6 3
e 4 7 7 4
e 5 7 8 9
e 2 3 9 5
e 3 6 10 3
e 6 7 11 10
e 2 6 12 2
